country,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.58,6.7,6.7,6.7,6.55,5.89,4.97,3.99,4.37,4.27,4.36,4.9,6.17,6.2,6.5,6.2,5.1,3.1,4.1,4.4,4.5,4.2,3.4,1.9,1.6,1.4,3.2,2.3,1.9,2,1.6,1.2,2.2,1.3
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,147,29.3,36.9,36.6,39.6,47.9,48.7,26.2,15.4,13.4,4.5,6.76,6.54,7.59,12.8,6.31,3.6,3.15,3.53,3.31,5.54,6.34,6.88,6.42,6.2
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,27.3,19.8,15.3,16.8,27.3,22.6,12.9,8.3,7.72,8.54,8.38,6.61,5.09,5.23,5.66,6.8,6.77,6.42,5.86,5.42,4.16,1.91,1.39,0.831,0.767,0.752,0.492,0.409
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.17,10.7,12,14.9,20.4,21.2,24.3,19,31.9,47.3,29.3
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2,32.2,26.1,24.9,27.3,18.1,14.9,9.6,6.87,4.9,5.81,5.84,6.25,6.63,8.65,8.95,9.25,9.57,10.2,10.4,14.1,11.6,9.01,8.66,8.49,8.12
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,5,7.61,7.99,7.99,5.3,5.09,4.66,5,6,6,5.75,5.01,4.19,4.02,4.33,4.36,4.34,4.45,5.18,4.49,4.36,4.86,4.12,3.86,3.83,3.52,3.54,3.48,3.37,3.38,3.16,3.04,2.89,2.47,1.93,1.75,1.65,1.58,1.51
Australia,,,,,,,,,,,,,,,,,,,,,,13.6,15,12.8,12.5,14,16.2,14.9,13.4,18.3,15.8,11.1,7.12,5.76,5.75,7.15,6.68,5.05,4.34,4.06,4.91,3.74,3.7,3.51,3.85,3.89,4.06,4.53,4.72,3.08,4.21,4.34,3.92,3.25,2.9,2.3,2.14,2.01,1.98,1.56,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,12.1,12.9,8.46,8.66,9.54,9.18,8.52,10.6,11.6,12.2,12.2,11.6,10.9,10.2,9.89,9.17,9,7.73,8.43,10.3,9.69,8.69
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,7.82,7.81,8.12,8.58,8.39,8.5,7.99,7.65,7.26,7,6.92,6.49,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,7.82,7.81,8.12,8.58,8.39,8.5,7.99,7.65,7.26,7,6.92,6.49,,,
Bangladesh,,,,,,,,,,,,,,,,,7.65,7.94,7.94,7.94,9.35,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.7,13.7,11.9,9.27,7.26,6.85,8.26,9.2,9.3,9.44,8.69,9.15,7.91,7.11,5.8,5.53,5.99,6.99,7.55,7.81,7.21,8.84,10.2,11.7,9.8,8.24,6.2,5.61,6.66,6.78,6.07
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,2.92,2.8,2.93,3.05,3.08,3.17,3.68,4.44,6.18,4.08,3.37,3.08,2.41,1.66,0.614,0.173,0.0463,0.0275,0.025,0.0133
Bahrain,,,,,,,,,,,,,,,,,6.5,6.5,6.5,6.83,7.88,9,8.58,7,7,6.71,5.58,5,5.5,7.33,7.5,,3.63,3.02,4,5.7,5.17,5.28,4.74,4.79,5.82,2.71,1.33,1.48,1.54,3.14,4.37,4.49,1.65,1.58,1.23,1.02,1.08,1.06,0.982,0.993,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,5.57,5.5,5.97,6.48,6.57,6.92,6.13,5.19,4.3,4.2,5.14,5.23,5.36,4.57,4.08,4.25,4.25,3.95,3.83,3.22,3.36,3.69,3.92,3.78,3.44,2.63,2.01,1.68,1.42,1.41,1.24,0.994,0.841,0.588,0.452
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,4.03,3.72,3.56,3.69,3.56,3.48,3.6,3.16,2.8,3.18,3.01,2.66,2.06,1.58,1.21,0.982,0.913,0.796
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1,89.6,101,32.4,15.6,14.3,23.8,37.5,34.2,26.9,17.4,12.7,9.23,7.68,8.31,8.53,10.7,9.09,13.3,22.3,20.3,18.6,19.9,14.6,7,5.92,6.51,6.61
Belize,,,,,,,,,,,,,,,,,7.1,6.7,6.8,6.8,11.2,14.7,14.9,11.3,9.07,11.6,11.8,9.58,8.42,7.86,8.14,8.42,8.15,8.13,8.55,9.37,9.07,9.19,8.76,8.12,7.69,6.35,6.28,6.93,7.42,7.71,8.15,8.32,8.46,8.37,7.76,6.44,4.41,3.58,2.9,2.6,2.3,2.12,2,1.95,2.18
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,27.7,23.7,23.8,23.8,23.2,22.2,18.4,18.9,19.2,14.7,12.8,12.3,11,9.82,9.58,11.4,7.42,4.93,4.03,3.55,4.66,3.44,1.05,1.4,1.63,1.74,2.95,1.41,1.44,2.47,3.03,3.18,3.54
Brazil,,,,,,,,,,,,,,,,,,,,,,,156,154,267,294,109,400,857,5840,9390,913,1560,3290,5180,52.2,26.4,24.4,28,26,17.2,17.9,19.1,22,15.4,17.6,13.9,10.6,11.7,9.28,8.87,11,7.91,7.81,10,12.6,12.4,8.51,6.87,5.43,2.2
Barbados,,,,,,,,,,,,,,,,,,,,,5.6,7.39,8.83,6.72,6.07,5.49,4.28,3.61,4.26,4.78,6.28,6.53,6.68,4.39,4.32,5.11,5.2,4.58,4.2,4.4,4.97,4.04,2.7,2.56,2.54,3.18,4.6,5.13,4.46,2.87,2.67,2.68,2.56,2.51,2.51,1.32,0.347,0.195,0.15,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,1.04,1.01,1.04,1.17,0.876,0.7,0.471,0.396,0.232,0.284,0.3,0.336,0.333,0.316,0.312,0.371,0.23
Bhutan,,,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,6.08,6.5,6.5,6.5,6.5,6.5,6.5,8,8,8,8,8.21,8.25,8.25,8.25,8.25,7.81,7.21,6.04,4.5,4.5,4.5,4.5,2,2,2.21,4.5,4.79,4.71,4.54,4,4,2.83,2,2.25,3
Botswana,,,,,,,,,,,,,,,,,,,,,5,8.67,10.8,11.9,10,9,8.67,7.5,5,5.58,6.11,11.4,12.5,13.5,10.6,9.79,9.68,9.51,8.43,9.1,9.42,10.1,10.5,9.95,9.85,9.25,8.87,8.62,8.67,7.47,5.6,5.15,3.61,3.11,2.53,2.5,2.12,1.44,1.52,1.59,1.56
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.5,7.5,7.75,8.08,5.5,5.46,5,5,5,5,5,5,5,5,4.92,4.33,4.25,3.75,3.25,3.25,3.25,3.25,3.21,2.6,2.45,2.45,2.45,,,
Canada,,,,,,,,,,,,4.41,4.98,6.39,9.31,7.35,8.65,6.96,8.19,11.3,11.5,16,12.9,7.33,8.94,7.79,7.08,5.69,6.65,9.08,9.85,5.75,3.92,3.21,3.98,5.28,3,1.9,3.08,2.88,3.48,2.25,0.829,1.1,0.783,0.792,1.82,2.08,1.5,0.0958,0.2,0.475,0.483,0.55,0.55,0.075,0.1,0.1,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,0.0917,0.0717,0.0558,0.0383,0.0333,0.0292,−0.142,−0.201,−0.272,−0.316,−0.351,−0.384
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,19,25.3,15.2,27.8,40.4,22.3,18.3,18.2,15.1,13.7,13.5,12,14.9,8.56,9.2,6.19,3.8,2.73,1.94,3.93,5.11,5.61,7.49,2.05,1.75,5.29,5.79,5.17,3.92,3.61,3.82,2.94,2.7,2.53,0.857
China,,,,,,,,,,,,,,,,,,,,,5.4,5.4,5.76,5.76,5.76,7.2,7.2,7.2,8.64,11.3,8.64,7.56,7.56,11,11,11,7.47,5.67,3.78,2.25,2.25,2.25,1.98,1.98,2.25,2.25,2.52,4.14,2.25,2.25,2.75,3.5,3,3,2.75,1.5,1.5,1.5,1.5,1.5,1.5
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,7.82,7.81,8.12,8.58,8.39,8.5,7.99,7.65,7.26,7,6.92,6.49,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.5,7.5,7.75,8.08,5.5,5.38,5.04,5,5,5,5,5,5,5,4.92,4.33,4.25,3.75,3.25,3.25,3.25,3.25,3.21,2.6,2.45,2.45,2.45,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,7.8,16.1,16.8,13.4,7.72,4.71,4.01,3.66,3.38,4.18,4.87,5.48,6.2
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.5,7.5,7.75,8.08,5.5,5.46,5,5,5,5,5,5,5,5,4.92,4.33,4.25,3.75,3.25,3.25,3.25,3.25,3.21,2.6,2.45,2.45,2.45,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,30.8,33.5,33.7,36.4,37.2,26.7,25.8,29.4,32.3,31.1,24.1,32.6,21.3,12.1,12.4,8.94,7.8,7.8,7.01,6.28,8.01,9.74,6.15,3.66,4.26,5.36,4.17,4.09,4.58,6.78,5.99,4.71,4.5,3.38
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3.17,3.5,3.5,3,2.5,2.5,2.5,1.88,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34,3.29,3.81,2.88,3.11,3.35,3.79,4.17,3.48,2.87,2.63,2.53,1.86,1.46,0.884
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,18.3,19.5,14.5,16.5,16.7,14.1,15.2,15.6,21.2,27.3,15.8,16.9,17.7,23.9,17.3,13,12.8,14.3,13.4,11.8,11.5,10.4,9.51,10.1,9.77,6.35,4.15,6.96,5.32,4.01,4.74,3.88,3.32,2.37,1.21,2.79,4.02,4.64,2.58
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.03,7.07,6.96,6.79,7.71,8.08,4.48,3.42,2.87,2,1.33,1.28,1.17,1.19,1.32,1.61,1.27,1.08,1.04,1.02,0.862,0.702,0.529,0.373,0.275,0.276,0.389,0.304
Dominica,,,,,,,,,,,,,,,,,,,,,,4.27,4.27,4.84,4.7,4.7,4.7,4.7,4.7,4.02,4.27,4.17,3.96,4.19,4.5,4.2,4.3,4.27,4.23,4.38,3.87,3.98,3.91,3.66,3.26,3.15,3.33,3.26,3.2,3.2,3.26,3.2,3.1,3.05,2.87,2.45,1.91,1.75,1.63,1.77,1.81
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.7,14,13.7,14.9,13.9,13.4,17.6,16.1,17.7,15.6,16.5,20.5,21.1,13.9,9.83,6.96,10.3,7.81,4.86,7.87,7.49,6.02,6.73,6.56,7.18,7.62,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,14.5,12.6,9.13,8.25,7.5,6.25,5.33,5.25,3.65,1.94,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83,4.87,4.78,3.9,3.84,3.89,3.89,4.03,4.38,4.77,3.5,3.63,4.43,4.78
Egypt,,,,,,,,,,,,,,,,,3,4.67,5.88,7,8.33,10,11,11,11,11,11,11,11,11.7,12,12,12,12,11.8,10.9,10.5,9.84,9.36,9.22,9.46,9.46,9.33,8.22,7.72,7.22,6.02,6.1,6.58,6.49,6.23,6.74,7.64,7.68,6.92,6.91,7.86,12.1,12.3,10.9,7.78
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2.88,11.5,11.5,11.5,9.42,7,6,6,6,6,3.79,3.35,3.38,3.46,3.56,4.11,4.68,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76,7.63,7.14,6.77,6.21,5.56,4.53,3.36,3.12,2.69,2.29,1.91,1.72,1.83,5.56,7.04,2.75,4.91,5.41,3.75,2.52,2.07,1.29,2.52,2.82,3.24,3.4,4.06,3.7
France,,,,,,,3,3,3,3.79,4.13,4.25,4.25,4.25,6.25,7.5,6.5,6.5,6.5,6.5,7.25,7.75,8.5,8.08,7.08,6.25,5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,3.67,3.5,3.21,2.69,2.63,3,3,2.69,2.25,2.15,2.44,2.85,3.67,1.92,1.46,2.08,2.25,1.6,1.15,0.896,0.757,0.792,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.33,4.58,4.21,3.98,3.72,4.59,3.17,1.47,1.02,1.02,1.62,2.04,2.54,2.47,1.29,0.911,0.589,0.416,0.38,0.38,0.38,0.38,0.47,0.44,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.5,7.5,7.75,8.08,5.5,5.46,5,5,5,5,5,5,5,5,4.92,4.33,4.25,3.75,3.25,3.25,3.25,3.25,3.21,2.6,2.45,2.45,2.45,,,
United Kingdom,3.38,4.04,2.79,2,3.25,4.42,4.5,4.21,5.42,5.92,5.21,3.83,4.15,8.02,9.5,7.08,7.54,4.9,6.08,11.7,14.1,10.7,12.4,11.2,7.27,11.8,9.85,8.57,8.55,11.5,12.5,10.3,7.46,3.97,3.66,4.11,3.04,3.63,4.48,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,14.7,16.3,9.08,5.33,4,4.83,5.89,8.83,7.07,7.48,10.1,10.2,11.2,10.8,10.1,11.5,10.7,9.73,8.43,8.91,9.94,9.65,8.83,8.71,10.2
Ghana,,,,,,,,,,,,,,,,,,,11.5,11.5,11.5,11.5,11.5,11.5,15,15.8,17,17.6,16.5,15.5,,21.3,16.3,23.6,23.1,28.7,34.5,35.8,32,23.6,28.6,30.9,16.2,14.3,13.6,10.2,8.89,8.9,11.3,17.1,12.9,8.91,10.1,12.3,12.9,13.3,13,14.1,12.1,11.5,11.5
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16.8,19.5,21,22,23,19.8,18,17.5,17,15.7,6.38,5.67,7.5,8.03,7.4,6.5,8.85,14.3,17.5,17.5,17.5,17.5,17.5,17.5,16.7,15.6,13.1,6.69,3.84,3.7,3.1,3.29,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,10.5,9.75,16.1,15.8,15,12.9,11.3,12.7,13.8,13,12.6,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.7,16.4,22,17.3,12.7,12.9,12.9,15.5,14.6,11.8,11.5,13.4,16.5,,,15.8,9,8.11,6.84
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,7.82,7.81,8.12,8.58,8.39,8.5,7.99,7.65,7.26,7,6.92,6.49,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.5,7.5,7.75,8.08,5.5,5.46,5,5,5,5,5,5,5,5,4.92,4.33,4.25,3.75,3.25,3.25,3.25,3.25,3.21,2.6,2.45,2.45,2.45,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,2.19,3.08,3.65,3.65,2.82,3.06,2.96,2.75,3.4,3.74,3.67,3.88,3.61,3.67,3.74,3.93,4.16,4.3,4.24,4.23,3.59,3.39,3.32,2.87,2.95,3.13,3.23,3.27,3.08,3.11,2.86,2.64,2.4,1.83,1.54,1.45,1.39,1.34,1.16
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83,5.44,7.96,10.2,8.75,6.92,4.78,4.19,4.35,4.5,4.76,5.08,5.58,5.45,5.24,5.29,5.45,5.48,5.47,5.47,5.37,5.17,5.01,4.63
Guyana,,,,,,,,,,,,,,,,,,,,,,11,11.6,12,12,12,12,11.1,12,15.8,29.2,29.5,22.5,12.3,11.4,12.9,10.5,8.56,8.1,9.07,8.71,7.63,4.53,3.18,2.68,2.59,2.54,2.47,2.37,2.32,2.27,1.94,1.52,1.13,1.07,1.11,1.17,1.05,0.994,0.878,0.847
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,5.63,4.64,5.98,6.62,4.5,4.8,2.38,0.345,0.0667,0.025,1.26,2.7,2.42,0.448,0.0108,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0442,0.138,0.0583
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,9.93,9.7,9.62,8.63,8.57,8.78,11.4,12.3,11.6,11.6,12,16.7,21.3,18.6,20,15.9,14.5,13.7,11.5,11.1,10.9,9.33,7.78,9.49,10.8,9.81,8.18,8.93,11.6,10.8,9.7,8.64,8.25,8.3,8.42,8.13
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,379,6.52,5.52,5.58,4.3,4.62,4.31,3.74,3.23,1.89,1.53,1.87,1.71,1.71,2.34,2.82,3.2,1.76,1.7,1.88,1.52,1.35,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,7.81,5.92,2.3,1.13,0.736,0.282,0.454,0.683,2.61,4.29,5.63,5.41,6.13,7.89,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,29.2,23.5,15,19.5,24.8,20.6,17.7,15.4,12.6,9.19,8.98,7.32,7.08,10.5,6.41,6.03,7.23,8.06,8.14,4.93,5.49,6.27,3.77,1.78,1.11,0.581,0.12,0.0643,0.105,0.467
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,23.3,19.6,14.5,12.5,16.7,17.3,20,39.1,25.7,12.5,15.5,15.5,10.6,6.44,8.08,11.4,7.98,8.49,9.28,7.02,6.93,5.95,6.26,8.75,8.34,7.17,6.52,6.13,6.69,5.5
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,11.7,11.8,11.6,11.6,13.3,13.1,11.9,11.2,14.8,14.8,16.9,16.3,12.8,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,6.56,6.62,10.4,10.5,7.82,6.06,5.91,5.87,5.75,5.16,4.86,4.78,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,0.798,0.457,0.484,0.519,0.562,0.65,0.591
Jamaica,,,,,,,,,,,,,,,,,,,6.73,8.32,9.58,10.6,10.8,13.7,15.9,19.7,18.8,15.7,15.9,16,24,24.8,33.8,27.7,36.6,23.3,25.2,13.9,16.4,14.1,14.7,13.3,11.5,11.8,10.8,9.82,9.26,8.89,9.12,9.67,6.44,4.28,3.75,3.7,4.52,3.89,3.56,3.71,3.02,2.55,2.46
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.09,7.68,8.5,9.11,8.21,8.3,6.97,5.8,4.43,3.14,2.49,2.91,4.62,5.45,5.46,4.94,3.53,3.4,3.77,4.85,4.52,3.5,3.03,3.43,4.38,4.93,4.08
Japan,6.72,6.37,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.05,6.25,8.33,8.33,7.03,5.99,4.2,5.18,8.59,6.93,5.86,5.86,5.47,5.47,3.62,2.75,2.75,3.08,5.56,5.99,3.35,2.14,1.7,0.901,0.3,0.301,0.266,0.117,0.0704,0.0571,0.0356,0.0425,0.0803,0.271,0.683,0.808,0.589,0.435,0.5,0.462,0.478,0.542,0.415,0.406,0.3,0.321,,,
Kenya,,,,,,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.32,5.13,5.13,5.13,5.13,5.13,5.75,8.85,12.2,13.3,11.8,11.3,11.3,10.3,10.3,12,13.7,14.5,,,15.7,13.6,17.6,16.7,18.4,9.55,8.1,6.64,5.49,4.13,2.43,5.08,5.14,5.16,5.3,5.97,4.56,5.63,11.6,8.64,8.37,9.19,8.69,7.67,8.29,7.51,6.97
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,29,35.4,27.4,14.5,8.09,4.12,2.52,1.95,1.97,1.88,2.15,2.45,2.81,1.96,2.2,2.32,2.33,2.49,2.46,2.42,2.75,2.42,1.54,1.37
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39,8.71,8.8,8.03,7.8,7.33,6.83,4.36,2.49,2.02,1.79,1.92,1.84,1.9,1.91,1.66,1.26,1.34,1.33,1.34,1.42,1.42,1.44,1.53,1.38,1.44,1.49
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,3.77,3.77,3.77,4.09,4.09,4.12,4.09,4.14,4.72,4.67,4.72,4.52,4.35,4.39,3.99,4.52,4.27,4.27,4.22,4.31,4.32,4.23,4.01,4.49,4.54,4.51,4.56,4.6,4.55,4.59,4.59,4.47,4.27,3.74,3.18,2.72,2.5,2.27,2.08,2.01,2.22
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,10.8,13.3,7.95,7.94,5.79,4.95,4.25,3.87,3.72,4.5,5.17,5.87,3.48,3.86,4.15,3.7,2.89,2.54,1.81,1.56,1.67,2.03,1.85,1.16
